Frequency (Hz),RIN (Hz^-1/2)
14640.29085,9.06E-07
14669.96072,9.11E-07
14699.63059,9.18E-07
14729.30046,9.23E-07
14758.97032,9.31E-07
14788.64019,9.39E-07
14818.31006,9.39E-07
14847.97993,9.33E-07
14877.64979,9.31E-07
14907.31966,9.36E-07
14936.98953,9.40E-07
14966.6594,9.37E-07
14996.32926,9.41E-07
15025.99913,9.47E-07
15055.669,9.44E-07
15085.33887,9.30E-07
15115.00874,9.19E-07
15144.6786,9.26E-07
15174.34847,9.81E-07
15204.01834,1.10E-06
15233.68821,1.21E-06
15263.35807,1.22E-06
15293.02794,1.13E-06
15322.69781,1.05E-06
15352.36768,1.05E-06
15382.03754,1.07E-06
15411.70741,1.03E-06
15441.37728,9.70E-07
15471.04715,9.34E-07
15500.71701,9.34E-07
15530.38688,9.44E-07
15560.05675,9.51E-07
15589.72662,9.57E-07
15619.39648,9.56E-07
15649.06635,9.43E-07
15678.73622,9.23E-07
15708.40609,9.06E-07
15738.07596,9.02E-07
15767.74582,9.12E-07
15797.41569,9.23E-07
15827.08556,9.23E-07
15856.75543,9.13E-07
15886.42529,9.01E-07
15916.09516,9.03E-07
15945.76503,9.15E-07
15975.4349,9.33E-07
16005.10476,9.52E-07
16034.77463,9.64E-07
16064.4445,9.55E-07
16094.11437,9.32E-07
16123.78423,9.09E-07
16153.4541,8.97E-07
16183.12397,8.99E-07
16212.79384,9.04E-07
16242.4637,9.07E-07
16272.13357,9.28E-07
16301.80344,9.86E-07
16331.47331,1.05E-06
16361.14318,1.06E-06
16390.81304,1.00E-06
16420.48291,9.18E-07
16450.15278,8.64E-07
16479.82265,8.61E-07
16509.49251,8.88E-07
16539.16238,9.19E-07
16568.83225,9.34E-07
16598.50212,9.20E-07
16628.17198,8.79E-07
16657.84185,8.39E-07
16687.51172,8.32E-07
16717.18159,8.52E-07
16746.85145,8.75E-07
16776.52132,8.99E-07
16806.19119,9.13E-07
16835.86106,9.10E-07
16865.53092,8.98E-07
16895.20079,8.90E-07
16924.87066,8.89E-07
16954.54053,8.95E-07
16984.2104,9.00E-07
17013.88026,8.95E-07
17043.55013,8.99E-07
17073.22,9.49E-07
17102.88987,1.01E-06
17132.55973,1.03E-06
17162.2296,9.97E-07
17191.89947,9.53E-07
17221.56934,9.35E-07
17251.2392,9.32E-07
17280.90907,9.28E-07
17310.57894,9.16E-07
17340.24881,8.99E-07
17369.91867,8.87E-07
17399.58854,9.00E-07
17429.25841,9.37E-07
17458.92828,9.69E-07
17488.59815,1.01E-06
17518.26801,1.10E-06
17547.93788,1.23E-06
17577.60775,1.27E-06
17607.27762,1.19E-06
17636.94748,1.07E-06
17666.61735,1.01E-06
17696.28722,9.84E-07
17725.95709,9.69E-07
17755.62695,9.55E-07
17785.29682,9.51E-07
17814.96669,9.64E-07
17844.63656,9.79E-07
17874.30642,9.76E-07
17903.97629,9.49E-07
17933.64616,9.23E-07
17963.31603,9.14E-07
17992.98589,9.14E-07
18022.65576,9.10E-07
18052.32563,9.00E-07
18081.9955,9.02E-07
18111.66537,9.14E-07
18141.33523,9.24E-07
18171.0051,9.25E-07
18200.67497,9.30E-07
18230.34484,9.43E-07
18260.0147,9.55E-07
18289.68457,9.51E-07
18319.35444,9.31E-07
18349.02431,9.10E-07
18378.69417,8.99E-07
18408.36404,8.93E-07
18438.03391,8.92E-07
18467.70378,9.01E-07
18497.37364,9.07E-07
18527.04351,8.99E-07
18556.71338,8.82E-07
18586.38325,8.66E-07
18616.05311,8.54E-07
18645.72298,8.40E-07
18675.39285,8.34E-07
18705.06272,8.45E-07
18734.73259,8.62E-07
18764.40245,8.77E-07
18794.07232,8.88E-07
18823.74219,8.85E-07
18853.41206,8.61E-07
18883.08192,8.40E-07
18912.75179,8.32E-07
18942.42166,8.38E-07
18972.09153,8.61E-07
19001.76139,9.09E-07
19031.43126,9.77E-07
19061.10113,1.01E-06
19090.771,9.70E-07
19120.44086,8.86E-07
19150.11073,8.31E-07
19179.7806,8.23E-07
19209.45047,8.33E-07
19239.12033,8.48E-07
19268.7902,8.74E-07
19298.46007,9.03E-07
19328.12994,9.15E-07
19357.79981,9.14E-07
19387.46967,9.12E-07
19417.13954,9.15E-07
19446.80941,9.15E-07
19476.47928,9.08E-07
19506.14914,8.95E-07
19535.81901,8.77E-07
19565.48888,8.61E-07
19595.15875,8.61E-07
19624.82861,8.69E-07
19654.49848,8.64E-07
19684.16835,8.48E-07
19713.83822,8.35E-07
19743.50808,8.37E-07
19773.17795,8.51E-07
19802.84782,8.67E-07
19832.51769,8.80E-07
19862.18755,8.86E-07
19891.85742,8.94E-07
19921.52729,9.04E-07
19951.19716,9.07E-07
19980.86703,8.94E-07
20010.53689,8.79E-07
20040.20676,8.76E-07
20069.87663,8.72E-07
20099.5465,8.68E-07
20129.21636,8.69E-07
20158.88623,8.82E-07
20188.5561,8.95E-07
20218.22597,8.94E-07
20247.89583,8.84E-07
20277.5657,8.80E-07
20307.23557,8.85E-07
20336.90544,8.85E-07
20366.5753,8.70E-07
20396.24517,8.43E-07
20425.91504,8.20E-07
20455.58491,8.26E-07
20485.25477,8.58E-07
20514.92464,8.87E-07
20544.59451,8.93E-07
20574.26438,8.76E-07
20603.93425,8.64E-07
20633.60411,8.64E-07
20663.27398,8.63E-07
20692.94385,8.51E-07
20722.61372,8.36E-07
20752.28358,8.31E-07
20781.95345,8.35E-07
20811.62332,8.42E-07
20841.29319,8.55E-07
20870.96305,8.78E-07
