frequency (Hz),RIN (Hz^-1/2)
26003.85015,6.55E-06
26033.52002,7.07E-06
26063.18989,7.06E-06
26092.85976,7.78E-06
26122.52962,7.58E-06
26152.19949,7.25E-06
26181.86936,7.83E-06
26211.53923,7.05E-06
26241.20909,7.13E-06
26270.87896,7.39E-06
26300.54883,7.30E-06
26330.2187,7.62E-06
26359.88856,7.35E-06
26389.55843,7.10E-06
26419.2283,6.95E-06
26448.89817,7.82E-06
26478.56803,7.68E-06
26508.2379,7.71E-06
26537.90777,7.54E-06
26567.57764,7.51E-06
26597.2475,8.00E-06
26626.91737,7.45E-06
26656.58724,7.17E-06
26686.25711,7.16E-06
26715.92698,7.08E-06
26745.59684,7.33E-06
26775.26671,7.07E-06
26804.93658,7.01E-06
26834.60645,7.26E-06
26864.27631,7.66E-06
26893.94618,7.62E-06
26923.61605,7.38E-06
26953.28592,7.79E-06
26982.95578,8.19E-06
27012.62565,7.59E-06
27042.29552,7.94E-06
27071.96539,7.97E-06
27101.63525,7.86E-06
27131.30512,7.28E-06
27160.97499,7.35E-06
27190.64486,7.22E-06
27220.31472,7.04E-06
27249.98459,7.00E-06
27279.65446,7.63E-06
27309.32433,8.13E-06
27338.9942,8.44E-06
27368.66406,7.68E-06
27398.33393,7.34E-06
27428.0038,7.42E-06
27457.67367,7.24E-06
27487.34353,6.84E-06
27517.0134,6.93E-06
27546.68327,7.31E-06
27576.35314,7.53E-06
27606.023,6.62E-06
27635.69287,6.69E-06
27665.36274,7.22E-06
27695.03261,6.96E-06
27724.70247,7.53E-06
27754.37234,7.15E-06
27784.04221,8.58E-06
27813.71208,8.05E-06
27843.38194,8.20E-06
27873.05181,8.00E-06
27902.72168,8.92E-06
27932.39155,8.75E-06
27962.06142,8.12E-06
27991.73128,7.63E-06
28021.40115,7.48E-06
28051.07102,6.94E-06
28080.74089,7.25E-06
28110.41075,6.87E-06
28140.08062,6.76E-06
28169.75049,7.11E-06
28199.42036,6.77E-06
28229.09022,6.88E-06
28258.76009,7.75E-06
28288.42996,8.20E-06
28318.09983,8.35E-06
28347.76969,7.45E-06
28377.43956,8.00E-06
28407.10943,8.34E-06
28436.7793,8.36E-06
28466.44916,8.52E-06
28496.11903,8.13E-06
28525.7889,7.79E-06
28555.45877,7.52E-06
28585.12864,7.84E-06
28614.7985,8.79E-06
28644.46837,8.18E-06
28674.13824,7.81E-06
28703.80811,7.92E-06
28733.47797,7.83E-06
28763.14784,7.17E-06
28792.81771,7.34E-06
28822.48758,7.14E-06
28852.15744,7.39E-06
28881.82731,7.65E-06
28911.49718,7.44E-06
