Frequency (Hz),1A,2A,3A,4A,5A
8587.637858,2.38E-06,1.93E-06,2.25E-06,1.69E-06,2.08E-06
8617.307726,3.47E-06,2.15E-06,1.90E-06,1.52E-06,1.83E-06
8646.977593,4.35E-06,2.09E-06,1.94E-06,1.57E-06,1.24E-06
8676.647461,3.74E-06,1.85E-06,1.84E-06,1.54E-06,1.35E-06
8706.317329,3.51E-06,1.85E-06,1.50E-06,1.47E-06,1.32E-06
8735.987196,3.66E-06,1.98E-06,1.81E-06,1.58E-06,1.20E-06
8765.657064,3.62E-06,2.04E-06,1.64E-06,1.89E-06,1.94E-06
8795.326931,3.46E-06,2.31E-06,1.92E-06,2.19E-06,1.63E-06
8824.996799,2.87E-06,1.90E-06,1.53E-06,2.13E-06,1.82E-06
8854.666667,3.84E-06,2.09E-06,1.64E-06,1.71E-06,1.67E-06
8884.336534,5.11E-06,2.01E-06,1.80E-06,1.88E-06,1.36E-06
8914.006402,4.87E-06,2.06E-06,1.87E-06,2.13E-06,1.42E-06
8943.67627,4.69E-06,1.99E-06,1.99E-06,1.98E-06,1.56E-06
8973.346137,4.15E-06,1.92E-06,2.09E-06,1.72E-06,1.80E-06
9003.016005,3.84E-06,2.03E-06,2.22E-06,2.01E-06,1.79E-06
9032.685872,3.52E-06,2.16E-06,2.25E-06,1.71E-06,1.61E-06
9062.35574,3.79E-06,2.18E-06,2.37E-06,1.57E-06,1.83E-06
9092.025608,3.58E-06,2.28E-06,1.78E-06,1.52E-06,1.75E-06
9121.695475,4.19E-06,2.07E-06,1.64E-06,1.72E-06,1.91E-06
9151.365343,4.38E-06,1.76E-06,1.45E-06,1.86E-06,1.80E-06
9181.035211,4.74E-06,2.10E-06,1.47E-06,1.78E-06,2.03E-06
9210.705078,4.38E-06,2.34E-06,1.47E-06,1.55E-06,1.84E-06
9240.374946,4.16E-06,2.34E-06,1.76E-06,1.55E-06,1.54E-06
9270.044813,3.72E-06,1.96E-06,1.73E-06,1.56E-06,1.71E-06
9299.714681,3.42E-06,1.82E-06,1.97E-06,1.60E-06,1.74E-06
9329.384549,3.32E-06,2.04E-06,1.91E-06,1.98E-06,1.70E-06
9359.054416,3.00E-06,2.41E-06,1.53E-06,2.74E-06,1.85E-06
9388.724284,4.05E-06,2.21E-06,1.75E-06,2.95E-06,1.86E-06
9418.394151,3.92E-06,1.66E-06,1.82E-06,3.26E-06,2.04E-06
9448.064019,3.05E-06,1.79E-06,2.06E-06,2.97E-06,1.79E-06
9477.733887,3.76E-06,1.86E-06,2.01E-06,2.60E-06,1.71E-06
9507.403754,3.99E-06,1.72E-06,2.33E-06,2.20E-06,1.59E-06
9537.073622,4.27E-06,1.66E-06,2.70E-06,2.37E-06,1.73E-06
9566.74349,4.50E-06,1.73E-06,2.50E-06,2.87E-06,1.55E-06
9596.413357,4.36E-06,1.91E-06,1.98E-06,2.47E-06,1.48E-06
9626.083225,4.63E-06,2.14E-06,2.03E-06,2.25E-06,1.69E-06
9655.753092,4.21E-06,2.26E-06,2.15E-06,2.29E-06,2.01E-06
9685.42296,4.18E-06,2.41E-06,2.09E-06,1.98E-06,1.82E-06
9715.092828,4.50E-06,2.31E-06,1.86E-06,1.73E-06,1.95E-06
9744.762695,3.80E-06,2.21E-06,2.14E-06,1.72E-06,2.02E-06
